City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,saint-joseph,-21.3667,55.6167,24.21,81,100,4.73,RE,1673049141
259,vila velha,-20.3297,-40.2925,23.97,93,100,7.15,BR,1673049355
260,iracoubo,5.4802,-53.2011,24.42,91,93,5.17,GF,1673049355
261,ano mera,37.45,25.4,13.6,71,0,6.0,GR,1673049356
262,jauja,-11.7758,-75.4966,9.76,84,100,1.86,PE,1673049356
263,nizhnevartovsk,60.9344,76.5531,-31.66,75,0,0.0,RU,1673049356
264,clonakilty,51.6231,-8.8706,7.56,79,100,7.44,IE,1673049357
265,komsomolskiy,40.4272,71.7189,-0.6,93,81,2.06,UZ,1673049357
266,beringovskiy,63.05,179.3167,-20.47,96,75,3.91,RU,1673049358
267,kavieng,-2.5744,150.7967,29.17,67,85,1.62,PG,1673049358
268,la orilla,17.9833,-102.2333,27.17,66,0,3.88,MX,1673049164
269,san vicente,-26.6167,-54.1333,19.12,44,0,0.78,AR,1673049359
270,narrabri,-30.3167,149.7833,25.85,54,0,2.68,AU,1673049360
271,nemuro,43.3236,145.575,-2.14,64,8,4.0,JP,1673049361
272,baykit,61.67,96.37,-18.88,100,100,0.58,RU,1673049362
273,inverness,57.4791,-4.224,6.95,82,75,1.54,GB,1673049362
274,cabo rojo,18.0866,-67.1457,25.93,84,23,4.03,PR,1673049363
275,gornyy,55.1153,83.9059,-18.98,99,98,1.83,RU,1673049364
276,saint-leu,-21.15,55.2833,25.18,77,100,1.04,RE,1673049364
277,yerbogachen,61.2767,108.0108,-22.77,99,100,0.7,RU,1673049365
278,nsoko,-27.0333,31.95,18.59,92,100,3.8,SZ,1673049365
279,rokupr,8.6717,-12.395,20.83,90,0,0.41,SL,1673049366
280,brownsville,25.9018,-97.4975,25.05,82,0,7.31,US,1673049366
281,springbok,-29.6643,17.8865,17.95,39,0,5.01,ZA,1673049216
282,halifax,44.6453,-63.5724,0.68,95,100,5.81,CA,1673049367
283,statesboro,32.4488,-81.7832,11.93,71,0,0.0,US,1673049368
284,maryville,35.7565,-83.9705,7.83,66,36,2.68,US,1673049368
285,abu zabad,12.35,29.25,15.2,30,45,5.65,SD,1673049262
286,upernavik,72.7868,-56.1549,-26.59,83,4,4.68,GL,1673049369
287,bereda,43.2686,-7.5406,10.79,74,57,5.04,ES,1673049369
288,vila franca do campo,37.7167,-25.4333,15.23,93,98,2.95,PT,1673049369
289,half moon bay,37.4636,-122.4286,16.57,72,20,4.63,US,1673049370
290,dikson,73.5069,80.5464,-36.83,100,52,1.06,RU,1673049370
291,caravelas,-17.7125,-39.2481,25.36,87,98,3.83,BR,1673049371
292,abha,18.2164,42.5053,11.14,87,20,3.6,SA,1673049371
293,salalah,17.0151,54.0924,22.36,72,65,2.18,OM,1673049372
294,jaru,-10.4389,-62.4664,21.98,97,86,1.45,BR,1673049112
295,victoria,22.2855,114.1577,19.03,64,96,4.02,HK,1673049353
296,vytegra,61.0064,36.4481,-21.13,100,63,1.18,RU,1673049372
297,bhabua,25.05,83.6167,5.4,61,0,2.55,IN,1673049364
298,saint-georges,12.0564,-61.7485,25.82,78,20,4.63,GD,1673049373
299,tutoia,-2.7619,-42.2744,26.76,80,98,5.28,BR,1673049374
300,prainha,-1.8,-53.48,26.53,56,40,1.36,BR,1673049374
301,hualmay,-11.0964,-77.6139,21.16,79,84,3.41,PE,1673049375
302,marsh harbour,26.5412,-77.0636,23.17,73,73,6.51,BS,1673049375
303,qaqortoq,60.7167,-46.0333,-13.2,59,53,3.59,GL,1673049375
304,folldal,62.1325,9.9968,-11.22,96,100,5.03,NO,1673049377
305,cedral,23.8,-100.7333,18.64,27,0,4.19,MX,1673049377
306,pacific grove,36.6177,-121.9166,14.67,72,73,3.13,US,1673049377
307,longyearbyen,78.2186,15.6401,-4.09,86,75,0.51,SJ,1673049378
308,palmer,42.1584,-72.3287,2.3,87,75,0.0,US,1673049378
309,isiro,2.7739,27.616,18.44,53,38,1.58,CD,1673049278
310,ubata,-14.2139,-39.5228,21.53,98,94,0.68,BR,1673049379
311,hartford,41.7668,-72.7662,4.67,97,100,1.1,US,1673049379
312,salinopolis,-0.6136,-47.3561,26.13,81,46,4.88,BR,1673049197
313,luganville,-15.5333,167.1667,31.04,66,81,2.42,VU,1673049381
314,husavik,66.0449,-17.3389,-2.97,86,81,1.41,IS,1673049381
315,santa cruz,-17.8,-63.1667,30.03,42,27,4.12,BO,1673049382
316,nanortalik,60.1432,-45.2371,-7.49,58,51,2.38,GL,1673049382
317,luderitz,-26.6481,15.1594,20.02,55,0,6.42,NA,1673049363
318,suntar,62.1444,117.6319,-24.37,99,100,1.28,RU,1673049383
319,ambalavao,-21.8333,46.9333,16.65,94,49,1.46,MG,1673049384
320,raska,43.2872,20.6153,4.5,87,17,0.5,RS,1673049384
321,nortelandia,-14.4547,-56.8028,22.21,93,98,2.01,BR,1673049384
322,hofn,64.2539,-15.2082,-0.39,69,72,7.53,IS,1673049385
323,mahibadhoo,3.7833,72.9667,27.06,74,55,6.36,MV,1673049116
324,richards bay,-28.783,32.0377,19.09,91,100,6.97,ZA,1673049205
325,oranjemund,-28.55,16.4333,16.98,79,0,3.97,NA,1673049386
326,obidos,-1.9175,-55.5181,26.34,65,54,0.22,BR,1673049267
327,show low,34.2542,-110.0298,5.6,50,0,3.09,US,1673049387
328,samoded,63.6083,40.5111,-18.84,87,91,1.6,RU,1673049388
329,kupang,-10.1667,123.5833,27.32,94,40,3.6,ID,1673049133
330,poum,-20.2333,164.0167,27.56,85,98,7.72,NC,1673049389
331,nouakchott,18.0858,-15.9785,19.96,30,91,4.49,MR,1673049389
332,krasnoselkup,65.7,82.4667,-40.4,90,29,3.55,RU,1673049390
333,gizo,-8.103,156.8419,29.32,71,36,5.35,SB,1673049390
334,utevka,52.9035,50.9495,-27.78,96,6,3.43,RU,1673049391
335,saint george,37.1041,-113.5841,12.46,63,31,2.68,US,1673049391
336,vysokogornyy,50.1167,139.15,-22.6,98,91,0.9,RU,1673049391
337,kyzyl-suu,42.3414,78.0056,-3.19,61,91,3.54,KG,1673049392
338,santo tomas,14.1079,121.1414,25.83,82,54,4.52,PH,1673049179
339,lerwick,60.1545,-1.1494,7.0,74,98,6.09,GB,1673049393
340,iquique,-20.2208,-70.1431,22.02,81,93,2.42,CL,1673049393
341,arifwala,30.294,73.0735,9.11,24,63,1.41,PK,1673049394
342,sharjah,25.3573,55.4033,20.99,77,0,3.09,AE,1673049394
343,hemsedal,60.8629,8.5534,-11.09,97,100,1.05,NO,1673049395
344,mount isa,-20.7333,139.5,30.87,51,97,2.57,AU,1673049395
345,saint anthony,45.0205,-93.218,-12.48,86,24,1.14,US,1673049396
346,bairiki,1.3292,172.9752,30.0,79,20,3.6,KI,1673049396
347,baracoa,20.3467,-74.4958,24.28,85,43,3.07,CU,1673049191
348,kadnikov,59.5022,40.338,-30.08,99,9,1.92,RU,1673049397
349,nanakuli,21.3906,-158.1547,28.26,66,17,1.11,US,1673049397
350,togur,58.3631,82.8265,-25.43,97,10,2.36,RU,1673049398
351,chicama,-7.8447,-79.1469,19.3,71,88,2.96,PE,1673049398
352,paamiut,61.994,-49.6678,-6.9,57,98,3.41,GL,1673049399
353,reyes,-14.3167,-67.3833,23.16,77,3,1.52,BO,1673049399
354,olafsvik,64.8945,-23.7142,-0.47,78,85,10.33,IS,1673049399
355,tera,14.0078,0.7531,22.5,22,5,4.09,NE,1673049363
356,santa rosa,14.3122,121.1114,26.68,74,51,6.72,PH,1673049345
357,sinnamary,5.3833,-52.95,24.53,90,99,5.23,GF,1673049400
358,kosmynino,57.5818,40.7643,-27.29,100,44,2.1,RU,1673049401
359,emerald,-23.5333,148.1667,27.41,62,38,4.26,AU,1673049401
360,tiarei,-17.5333,-149.3333,30.01,72,5,1.52,PF,1673049402
361,umirim,-3.6772,-39.3503,24.39,83,94,1.55,BR,1673049402
362,tomatlan,19.9333,-105.25,26.34,63,0,2.69,MX,1673049403
363,asadabad,34.7824,48.1185,-2.03,89,39,2.18,IR,1673049212
364,pangkalanbuun,-2.6833,111.6167,24.7,92,91,0.94,ID,1673049181
